指标,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
国际旅游外汇收入,127103.01,123417,120000,113650,56913,51664,50028,48464,45814,39675
国内旅游总花费,51278.29,45660.77,39390,34195.05,30311.86,26276.12,22706.2,19305.39,12579.77,10183.7
